Age	Div
36.66377	302
36.55407	302
36.44437	304
36.40049	302
36.3988445	302
36.26885	302
36.22497	301
36.0510955	301
35.92878	300
35.89587	300
35.86296	300
35.6898534	299
35.646851	300
35.56677	296
35.46804	296
35.45707	296
35.3419947	296
35.23767	295
35.06215	296
35.0073	296
34.9808623	296
34.909667	295
34.90857	293
34.7899843	294
34.65626	284
34.6330036	284
34.580567	286
34.57947	285
34.44783	289
34.31619	288
34.2717615	287
34.25037	287
34.18455	287
34.05291	286
33.9264259	286
33.9020293	284
33.901634	284
33.89202821	283
33.858151	263
33.810715	263
33.80941051	263
33.783044	251
33.767232	251
33.73849369	251
33.719796	251
33.676313	251
33.664454	250
33.63283	250
33.585394	250
33.56906811	249
33.545864	248
33.541911	249
33.494475	248
33.450992	248
33.427274	248
33.407509	248
33.4059278	248
33.360073	247
33.31659	246
33.308684	247
33.269154	247
33.23654175	247
33.225671	246
33.190094	247
33.178235	247
33.134752	248
33.091269	249
33.07340144	249
33.071504	246
33.043833	243
33.00035	244
32.9560764	247
32.9540999	249
32.952914	249
32.90397586	248
32.834324	247
32.818512	247
32.74083555	247
32.715734	247
32.68936749	247
32.680157	248
32.597144	247
32.57769524	246
32.56552	247
32.545755	247
32.482507	248
32.478554	248
32.46100268	242
32.42586051	242
32.40826966	241
32.4074	240
32.363917	240
32.359964	240
32.272998	238
32.245327	238
32.24512935	238
32.241374	238
32.174173	238
32.134643	239
32.126737	240
32.122784	240
32.0757433	240
32.008147	239
32.004194	239
32.000241	239
31.91260299	239
31.889557	239
31.8859993	238
31.885604	238
31.861886	238
31.770967	238
31.767014	238
31.74317741	238
31.727484	238
31.652377	238
31.648424	238
31.589129	238
31.5800371	238
31.533787	238
31.529834	236
31.494257	235
31.454727	235
31.41689679	235
31.4116393	234
31.411244	234
31.316372	235
31.292654	234
31.24747121	234
31.18197	234
31.174064	235
31.106863	239
31.0843309	239
31.055474	240
31.043615	240
30.936884	241
30.91490532	241
30.909213	241
30.818294	241
30.770858	242
30.75176501	242
30.715516	242
30.699704	242
30.636456	241
30.58237896	241
30.581114	241
30.498101	241
30.462524	241
30.41923865	241
30.363699	241
30.328122	241
30.25609834	241
30.2257393	241
30.225344	242
30.185814	243
30.170002	243
30.110707	247
30.106754	246
30.08667276	246
30.055365	246
30.000023	247
29.988164	248
29.9419139	247
29.940728	247
29.92353245	247
29.92226749	247
29.885386	247
29.869574	247
29.830044	246
29.770749	246
29.75410687	246
29.750984	246
29.715407	246
29.65876051	246
29.656112	246
29.632394	248
29.60077	248
29.59096656	248
29.549381	248
29.545428	248
29.513804	248
29.486133	248
29.430791	249
29.42158051	249
29.3956093	249
29.395214	248
29.375449	248
29.36445966	248
29.316154	248
29.276624	248
29.260812	247
29.2584402	247
29.20547	247
29.161987	248
29.158034	249
29.146175	248
29.13166749	249
29.090833	249
29.08901462	249
29.039444	249
29.035491	249
28.976196	249
28.92587431	249
28.9212493	250
28.920854	252
28.86816051	250
28.865512	250
28.806217	250
28.802264	250
28.774593	250
28.762734	250
28.750875	250
28.69158	250
28.683674	250
28.636238	250
28.604614	250
28.59330842	250
28.580896	250
28.565084	251
28.521601	250
28.466259	250
28.446494	250
28.43016811	250
28.410917	250
28.383246	250
28.351622	250
28.34106749	250
28.327904	250
28.29628	250
28.26078206	250
28.240938	249
28.209314	249
28.181643	248
28.126301	248
28.09764175	248
28.090724	248
28.07756051	248
28.070959	248
28.011664	248
27.995852	248
27.972134	248
27.956322	248
27.897027	249
27.853544	249
27.841685	249
27.82278966	249
27.814014	250
27.786343	250
27.76507586	250
27.734954	250
27.727048	248
27.671706	249
27.6167593	250
27.616364	250
27.608458	250
27.60193555	250
27.55928268	253
27.557069	253
27.55046749	253
27.501727	254
27.497774	253
27.446385	253
27.43250997	252
27.38709	250
27.379184	249
27.331748	249
27.29573617	247
27.28696051	247
27.276406	249
27.26936966	246
27.260594	247
27.22545183	246
27.2230405	246
27.22169648	249
27.221064	249
27.193393	248
27.181534	248
27.1028693	248
27.102474	247
27.09998361	246
27.094568	245
27.02092361	245
27.01092252	245
26.9842793	245
26.983884	245
26.9368433	245
26.8656893	245
26.865294	245
26.778328	245
26.76741772	245
26.7470993	247
26.746704	246
26.72069326	246
26.71069217	247
26.6285093	248
26.628114	249
26.5099193	248
26.509524	248
26.42046291	247
26.41046182	246
26.3913293	246
26.390934	246
26.347451	245
26.2727393	245
26.272344	243
26.1541493	244
26.153754	244
26.12023256	244
26.0355593	246
26.035164	244
26.01014151	244
25.9169693	244
25.916574	244
25.82000221	243
25.81000112	243
25.7983793	246
25.797984	245
25.679394	246
25.580569	246
25.560804	246
25.51977186	246
25.50977077	246
25.497556	246
25.442214	246
25.367107	246
25.323624	246
25.272235	245
25.21954151	240
25.20954042	240
25.205034	240
25.149692	240
25.0868393	240
25.086444	239
24.967854	239
24.93623	239
24.91931116	239
24.90931007	239
24.8967	239
24.888794	239
24.809734	239
24.722768	238
24.718815	238
24.710909	238
24.691144	236
24.61908081	235
24.60907972	235
24.572554	235
24.521165	236
24.505353	236
24.453964	236
24.331421	236
24.31885046	235
24.30884937	235
24.287938	235
24.216784	228
24.14563	228
24.098194	228
24.074476	227
24.01862011	227
24.00861902	227
23.979604	227
23.955886	227
23.876826	225
23.861014	225
23.857061	226
23.770095	225
23.742424	222
23.71838976	222
23.70838867	221
23.6242293	225
23.623834	214
23.580351	212
23.540821	210
23.505244	210
23.453855	210
23.41815941	210
23.40815832	210
23.390607	209
23.386654	209
23.370842	209
23.283876	209
23.268064	209
23.204816	209
23.200863	212
23.149474	209
23.11796859	208
23.113897	208
23.10792797	206
23.0316746	205
23.0301779	203
23.02996	204
23.021244	204
22.96459	197
22.929726	197
22.91246832	198
22.90693366	197
22.83385	197
22.829492	197
22.80212376	197
22.76848	197
22.74697327	196
22.729258	196
22.626845	196
22.58147822	196
22.57237	196
22.526611	196
22.507	196
22.44163	197
22.426377	197
22.41598317	197
22.326143	197
22.25048812	197
22.225909	197
22.18015	196
22.125675	196
22.11478	196
22.08499307	196
22.04941	196
22.023262	196
21.98404	196
21.94773786	196
21.923028	196
21.91949802	196
21.822794	196
21.78793	196
21.75400297	196
21.7227779	196
21.72256	196
21.65719	196
21.622326	196
21.59182	196
21.58850792	196
21.522092	196
21.44717798	196
21.42301287	196
21.421858	196
21.33034	196
21.319445	197
21.26497	197
21.25751782	197
21.203958	197
21.1996	196
21.13423	196
21.118977	197
21.09202277	196
21.06886	195
21.018743	194
21.00349	199
20.93812	198
20.92652772	198
20.918509	198
20.87275	198
20.818275	196
20.80738	196
20.76103267	194
20.74201	193
20.715862	193
20.67664	193
20.615628	192
20.61127	193
20.59553762	192
20.57921691	190
20.5459	190
20.515394	189
20.45874	189
20.4158137	189
20.4153779	190
20.41516	190
20.34979	189
20.28442	188
20.273525	188
20.21905	188
20.15368	185
20.08831	186
20.07111769	186
19.95757	186
19.8922	184
19.852978	184
19.82683	182
19.76146	182
19.72705359	182
19.69609	182
19.63072	182
19.595856	181
19.56535	182
19.49998	181
19.4348279	181
19.43461	184
19.39103	175
19.3694579	175
19.36924	175
19.30387	175
19.29234309	175
19.21671	175
19.21542439	175
19.184025	174
19.17313	174
19.13852748	174
19.125192	173
19.10776	173
19.06160878	173
19.04239	173
19.038032	170
18.98471187	170
18.9772379	169
18.97702	169
18.948693	167
18.93344	167
18.88986	166
18.859354	166
18.8027	166
18.772194	164
18.75912	164
18.67196	163
18.654528	163
18.62838	163
18.595695	162
18.54122	161
18.506356	160
18.49764	159
18.419196	159
18.41048	159
18.34511	158
18.329857	154
18.27974	152
18.242697	151
18.21565561	151
18.21437	151
18.196938	149
18.149	149
18.13873691	147
18.109778	146
18.10542	143
18.06184	140
18.020439	140
18.01826	140
17.98494309	140
17.95289	138
17.933279	135
17.90802439	132
17.86573	131
17.84394	129
17.83112748	129
17.82215	128
17.7572158	126
17.7569979	125
17.75678	125
17.66962	124
17.60425	125
17.58699232	124
17.586818	122
17.53888	122
17.47351	120
17.41720464	117
17.416856	114
17.40814	113
17.34277	111
17.25561	108
17.24739517	107
17.246894	106
17.19024	105
17.14666	96
17.08129	94
17.07760749	94
17.076932	85
17.0595	82
16.90781981	74
16.90697	67
16.8416	60
16.73803213	53
16.737008	41
16.73265	23
