core	age_calkaBP	d18Obenth	d18Ow	sealevel
1337 Kochhann	19170.00	2.07	0.57	-34.98
1337 Kochhann	19174.00	1.52	0.02	-1.14
1337 Kochhann	19178.00	1.84	0.34	-21.14
1337 Kochhann	19182.00	1.48	-0.02	1.50
1337 Kochhann	19186.00	1.76	0.26	-16.17
1337 Kochhann	19190.00	1.55	0.04	-2.63
1337 Kochhann	19193.00	1.61	0.11	-6.47
1337 Kochhann	19197.00	1.53	0.02	-1.49
1337 Kochhann	19201.00	1.49	-0.01	0.84
1337 Kochhann	19205.00	1.65	0.14	-8.72
1337 Kochhann	19209.00	1.74	0.23	-14.22
1337 Kochhann	19213.00	1.75	0.25	-15.23
1337 Kochhann	19217.00	1.97	0.46	-28.55
1337 Kochhann	19221.00	1.91	0.40	-24.45
1337 Kochhann	19225.00	1.94	0.43	-26.26
1337 Kochhann	19229.00	1.82	0.31	-19.03
1337 Kochhann	19233.00	1.09	-0.42	26.12
1337 Kochhann	19237.00	1.67	0.16	-9.72
1337 Kochhann	19241.00	1.29	-0.22	13.63
1337 Kochhann	19245.00	1.45	-0.06	3.58
1337 Kochhann	19249.00	1.68	0.17	-10.54
1337 Kochhann	19252.00	1.67	0.15	-9.53
1337 Kochhann	19256.00	1.69	0.18	-11.15
1337 Kochhann	19260.00	1.64	0.13	-8.04
1337 Kochhann	19264.00	1.64	0.13	-7.76
1337 Kochhann	19268.00	1.64	0.12	-7.66
1337 Kochhann	19272.00	1.81	0.29	-17.96
1337 Kochhann	19276.00	1.51	0.00	0.17
1337 Kochhann	19280.00	1.47	-0.04	2.73
1337 Kochhann	19284.00	1.61	0.09	-5.73
1337 Kochhann	19288.00	1.64	0.12	-7.29
1337 Kochhann	19292.00	1.50	-0.02	1.42
1337 Kochhann	19296.00	1.55	0.03	-2.05
1337 Kochhann	19300.00	1.61	0.09	-5.59
1337 Kochhann	19303.00	1.74	0.22	-13.77
1337 Kochhann	19307.00	1.86	0.34	-21.15
1337 Kochhann	19311.00	1.73	0.21	-12.91
1337 Kochhann	19315.00	1.43	-0.09	5.25
1337 Kochhann	19319.00	1.54	0.02	-1.03
1337 Kochhann	19323.00	1.68	0.16	-9.83
1337 Kochhann	19327.00	1.48	-0.04	2.66
1337 Kochhann	19331.00	1.80	0.28	-17.40
1337 Kochhann	19335.00	1.79	0.27	-16.35
1337 Kochhann	19339.00	1.83	0.31	-19.00
1337 Kochhann	19343.00	1.88	0.36	-21.89
1337 Kochhann	19347.00	1.80	0.28	-17.28
1337 Kochhann	19350.00	2.08	0.56	-34.45
1337 Kochhann	19354.00	1.88	0.36	-22.39
1337 Kochhann	19358.00	1.99	0.47	-29.15
1337 Kochhann	19362.00	2.02	0.50	-30.75
1337 Kochhann	19366.00	2.01	0.49	-30.14
1337 Kochhann	19370.00	1.65	0.13	-7.74
1337 Kochhann	19381.00	2.30	0.78	-48.29
1337 Kochhann	19385.00	1.98	0.46	-28.11
1337 Kochhann	19389.00	1.81	0.29	-18.02
1337 Kochhann	19393.00	1.83	0.31	-19.31
1337 Kochhann	19397.00	2.00	0.48	-29.71
1337 Kochhann	19401.00	2.07	0.55	-34.15
1337 Kochhann	19405.00	2.01	0.49	-30.18
1337 Kochhann	19409.00	2.08	0.56	-34.52
1337 Kochhann	19413.00	2.62	1.11	-68.02
1337 Kochhann	19417.00	1.96	0.44	-27.13
1337 Kochhann	19421.00	2.08	0.56	-34.55
1337 Kochhann	19425.00	1.91	0.39	-24.06
1337 Kochhann	19429.00	1.83	0.31	-19.35
1337 Kochhann	19432.00	1.95	0.43	-26.51
1337 Kochhann	19437.00	2.18	0.66	-40.89
1337 Kochhann	19440.00	1.92	0.41	-24.97
1337 Kochhann	19444.00	2.05	0.53	-32.88
1337 Kochhann	19448.00	2.18	0.66	-40.91
1337 Kochhann	19452.00	2.23	0.72	-44.27
1337 Kochhann	19456.00	1.96	0.44	-27.31
1337 Kochhann	19460.00	1.95	0.44	-27.10
1337 Kochhann	19464.00	1.79	0.28	-17.22
1337 Kochhann	19468.00	2.15	0.64	-39.16
1337 Kochhann	19472.00	2.10	0.58	-35.99
1337 Kochhann	19476.00	2.03	0.52	-31.84
1337 Kochhann	19480.00	2.09	0.58	-35.68
1337 Kochhann	19483.00	2.07	0.56	-34.47
1337 Kochhann	19487.00	2.03	0.52	-32.17
1337 Kochhann	19491.00	1.98	0.47	-29.18
1337 Kochhann	19495.00	1.93	0.42	-26.01
1337 Kochhann	19499.00	1.92	0.41	-25.25
1337 Kochhann	19503.00	1.90	0.39	-24.10
1337 Kochhann	19507.00	2.03	0.53	-32.44
