"","Order","Family","Genus","Species"
"382","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"383","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"384","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"385","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"386","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"387","Astrapotheria","Astrapotheriidae","Granastrapotherium","snorki"
"388","Astrapotheria","Astrapotheriidae","Henricofilholia","lustrata"
"389","Astrapotheria","Astrapotheriidae","Henricofilholia","vucetichia"
"390","Astrapotheria","Astrapotheriidae","Hilarcotherium","castanedaii"
"391","Astrapotheria","Astrapotheriidae","Hilarcotherium","miyou"
"392","Astrapotheria","Astrapotheriidae","Hilarcotherium","miyou"
"393","Astrapotheria","Astrapotheriidae","Hilarcotherium","miyou"
"394","Astrapotheria","Astrapotheriidae","Hilarcotherium","miyou"
"395","Astrapotheria","Astrapotheriidae","Hilarcotherium","miyou"
"396","Astrapotheria","Astrapotheriidae","Hilarcotherium","NA"
"397","Astrapotheria","Astrapotheriidae","Liarthrus","copei"
"398","Astrapotheria","Astrapotheriidae","Liarthrus","copei"
"399","Astrapotheria","Astrapotheriidae","Maddenia","lapidaria"
"400","Astrapotheria","Astrapotheriidae","Parastrapotherium","crassum"
"401","Astrapotheria","Astrapotheriidae","Parastrapotherium","holmbergi"
"402","Astrapotheria","Astrapotheriidae","Parastrapotherium","holmbergi"
"403","Astrapotheria","Astrapotheriidae","Parastrapotherium","holmbergi"
"404","Astrapotheria","Astrapotheriidae","Parastrapotherium","martiale"
"405","Astrapotheria","Astrapotheriidae","Parastrapotherium","NA"
"406","Astrapotheria","Astrapotheriidae","Parastrapotherium","NA"
"407","Astrapotheria","Astrapotheriidae","Parastrapotherium","NA"
"408","Astrapotheria","Astrapotheriidae","Parastrapotherium","symmetrum"
"409","Astrapotheria","Astrapotheriidae","Parastrapotherium","voghti"
"410","Astrapotheria","Astrapotheriidae","Scaglia","kraglievichorum"
"411","Astrapotheria","Astrapotheriidae","Scaglia","kraglievichorum"
"412","Astrapotheria","Astrapotheriidae","Uruguaytherium","beaulieui"
"413","Astrapotheria","Astrapotheriidae","Xenastrapotherium","aequatorialis"
"414","Astrapotheria","Astrapotheriidae","Xenastrapotherium","amazonense"
"415","Astrapotheria","Astrapotheriidae","Xenastrapotherium","chaparralensis"
"416","Astrapotheria","Astrapotheriidae","Xenastrapotherium","christi"
"417","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"418","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"419","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"420","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"421","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"422","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"423","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"424","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"425","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"426","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"427","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"428","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"429","Astrapotheria","Astrapotheriidae","Xenastrapotherium","kraglievichi"
"430","Astrapotheria","Astrapotheriidae","Xenastrapotherium","NA"
"431","Astrapotheria","Astrapotheriidae","Xenastrapotherium","NA"
"432","Astrapotheria","Astrapotheriidae","Xenastrapotherium","NA"
"433","Astrapotheria","Astrapotheriidae","Xenastrapotherium","NA"
"434","NA","Atelidae","Alouatta","mauroi"
"435","NA","Atelidae","Alouatta","palliata"
"436","NA","Atelidae","Alouatta","seniculus"
"437","NA","Atelidae","Alouatta","seniculus"
"438","NA","Atelidae","Alouatta","seniculus"
"439","NA","Atelidae","Alouatta","NA"
"440","NA","Atelidae","Ateles","geoffroyi"
"441","NA","Atelidae","Ateles","paniscus"
"442","NA","Atelidae","Ateles","paniscus"
"443","NA","Atelidae","Lagothrix","lagotricha"
