occurrence_no	record_type	reid_no	flags	collection_no	identified_name	identified_rank	identified_no	difference	accepted_name	accepted_rank	accepted_no	early_interval	late_interval	max_ma	min_ma	reference_no
1312591	occ			176133	Potamarchus sp.	genus	42095		Potamarchus	genus	42095	Tortonian		11.62	7.246	57830
1312592	occ			176133	Acarechimys sp.	genus	42052		Acarechimys	genus	42052	Tortonian		11.62	7.246	57830
1312606	occ			176143	Octodontobradys sp.	genus	279980		Octodontobradys	genus	279980	Serravallian	Tortonian	13.82	7.246	57830
1312608	occ			176143	Simplimus ? indet.	genus	42096		Simplimus	genus	42096	Serravallian	Tortonian	13.82	7.246	57830
1312611	occ			176128	Neoepiblema sp.	genus	251860		Neoepiblema	genus	251860	Tortonian		11.62	7.246	57830
1312630	occ			176156	Potamarchus sp.	genus	42095		Potamarchus	genus	42095	Serravallian	Tortonian	13.82	7.246	57830
1312631	occ			176156	Acarechimys sp.	genus	42052		Acarechimys	genus	42052	Serravallian	Tortonian	13.82	7.246	57830
1312653	occ			39295	Pleurostylodon ? similis	species	315543		Pleurostylodon similis	species	315543	Casamayoran		55.8	48	57836
1312654	occ			39295	Thomashuxleya externa	species	314734		Thomashuxleya externa	species	314734	Casamayoran		55.8	48	10312
1312655	occ			176163	Arminiheringia n. sp. auceta	species	53710		Arminiheringia auceta	species	53710	Bartonian		41.3	38	57943
1312656	occ			176163	Euprotogonia n. sp. patagonica	species	314599	recombined as	Ernestokokenia patagonica	species	314599	Bartonian		41.3	38	10369
1312657	occ			176163	Notostylops murinus	species	187992		Notostylops murinus	species	187992	Bartonian		41.3	38	57836
1312658	occ			176163	Notopithecus adapinus	species	65749		Notopithecus adapinus	species	65749	Bartonian		41.3	38	57836
1312659	occ			176163	Pleurostylodon modicus	species	187988		Pleurostylodon modicus	species	187988	Bartonian		41.3	38	10312
1312660	occ			176163	Thomashuxleya rostrata	species	314731		Thomashuxleya rostrata	species	314731	Bartonian		41.3	38	10312
1312661	occ			176163	Trigonostylops wortmani	species	187998		Trigonostylops wortmani	species	187998	Bartonian		41.3	38	57836
1312662	occ			176163	Albertogaudrya unica	species	58789		Albertogaudrya unica	species	58789	Bartonian		41.3	38	57836
1312663	occ			175744	Oldfieldthomasia debilitata	species	65752		Oldfieldthomasia debilitata	species	65752	Bartonian		41.3	38	10312
1312664	occ			175744	Albertogaudrya unica	species	58789		Albertogaudrya unica	species	58789	Bartonian		41.3	38	10312
1312665	occ			176164	Nephacodus n. sp. latigonus	species	315778	recombined as	Didolodus latigonus	species	315778	Lutetian	Bartonian	47.8	38	10369
1312666	occ			176164	Enneoconus n. sp. parvidens	species	314607		Enneoconus parvidens	species	314607	Lutetian	Bartonian	47.8	38	10369
1312667	occ			176164	Victorlemoineia n. sp. labyrinthica	species	314619		Victorlemoineia labyrinthica	species	314619	Lutetian	Bartonian	47.8	38	10369
1312668	occ			176164	Victorlemoineia n. sp. emarginata	species	314620		Victorlemoineia emarginata	species	314620	Lutetian	Bartonian	47.8	38	10369
1312669	occ			176164	Ernestohaeckelia n. sp. acutidens	species	314618		Ernestohaeckelia acutidens	species	314618	Lutetian	Bartonian	47.8	38	10369
1312670	occ			176164	Josepholeidya n. sp. adunca	species	314660		Josepholeidya adunca	species	314660	Lutetian	Bartonian	47.8	38	10369
1312671	occ			176164	Oldfieldthomasia debilitata	species	65752		Oldfieldthomasia debilitata	species	65752	Lutetian	Bartonian	47.8	38	10312
1312672	occ			176164	Notopithecus adapinus	species	65749		Notopithecus adapinus	species	65749	Lutetian	Bartonian	47.8	38	57836
1312673	occ			176164	Eohyrax n. sp. rusticus	species	314569		Eohyrax rusticus	species	314569	Lutetian	Bartonian	47.8	38	10312
1312674	occ			176164	Dialophus n. sp. recticrista	species	318308	recombined as	Pleurostylodon recticrista	species	318308	Lutetian	Bartonian	47.8	38	10312
1312675	occ			176164	Anisotemnus distentus	species	315795		Anisotemnus distentus	species	315536	Lutetian	Bartonian	47.8	38	57836
1312676	occ			176164	Isotemnus primitivus	species	187983		Isotemnus primitivus	species	187983	Lutetian	Bartonian	47.8	38	10312
1312677	occ			176164	Isotemnus latidens	species	335899		Isotemnus latidens	species	314659	Lutetian	Bartonian	47.8	38	57836
1312678	occ			176164	Thomashuxleya externa	species	314734		Thomashuxleya externa	species	314734	Lutetian	Bartonian	47.8	38	57836
1312679	occ			176164	Trigonostylops wortmani	species	187998		Trigonostylops wortmani	species	187998	Lutetian	Bartonian	47.8	38	57836
1312680	occ			176164	n. gen. Carolozittelia n. sp. tapiroides	species	314668		Carolozittelia tapiroides	species	314668	Lutetian	Bartonian	47.8	38	10312
1312681	occ			176165	Henricosbornia lophodonta	species	314556		Henricosbornia lophodonta	species	314556	Lutetian		47.8	41.3	57836
1312682	occ			176165	Henricosbornia ampla	species	335827		Henricosbornia ampla	species	318247	Lutetian		47.8	41.3	57836
1312683	occ			176165	Othnielmarshia lacunifera	species	314557		Othnielmarshia lacunifera	species	314557	Lutetian		47.8	41.3	57836
1312684	occ			176165	Peripantostylops minutus	species	318240		Peripantostylops minutus	species	315741	Lutetian		47.8	41.3	57836
1312685	occ			176165	Notostylops pendens	species	335831		Notostylops pendens	species	315728	Lutetian		47.8	41.3	57836
1312687	occ			176165	Maxschlosseria praeterita	species	315542		Maxschlosseria praeterita	species	315542	Lutetian		47.8	41.3	57836
1312688	occ			176165	Maxschlosseria minima	species	335838		Maxschlosseria minima	species	187989	Lutetian		47.8	41.3	57836
1312689	occ			176165	Maxschlosseria rusticula	species	335839		Maxschlosseria rusticula	species	314563	Lutetian		47.8	41.3	57836
1312690	occ			176165	Maxschlosseria consumata	species	335841		Maxschlosseria consumata	species	315541	Lutetian		47.8	41.3	57836
1312691	occ			176165	Paginula parca	species	315714		Paginula parca	species	315714	Lutetian		47.8	41.3	57836
1312692	occ			176165	Acropithecus rigidus	species	335846	subjective synonym of	Archaeopithecus rogeri	species	187906	Lutetian		47.8	41.3	57836
1312693	occ			176165	Anisotemnus distentus	species	315795		Anisotemnus distentus	species	315536	Lutetian		47.8	41.3	57836
1312694	occ			176165	Thomashuxleya n. sp. externa	species	314734		Thomashuxleya externa	species	314734	Lutetian		47.8	41.3	10312
1312695	occ			176166	Notostylops n. sp. pigafettai	species	335833		Notostylops pigafettai	species	335833	Casamayoran		55.8	48	10369
1312696	occ			176167	Paginula parca	species	315714		Paginula parca	species	315714	Bartonian		41.3	38	10312
1312697	occ			176167	Anisotemnus distentus	species	315795		Anisotemnus distentus	species	315536	Bartonian		41.3	38	10312
1312698	occ			176167	Albertogaudrya unica	species	58789		Albertogaudrya unica	species	58789	Bartonian		41.3	38	10312
1312699	occ			176168	Notopithecus adapinus	species	65749		Notopithecus adapinus	species	65749	Bartonian		41.3	38	57836
1312700	occ			176168	Pleurostylodon modicus	species	187988		Pleurostylodon modicus	species	187988	Bartonian		41.3	38	57836
1312701	occ			176168	Isotemnus n. sp. distentus	species	315536	recombined as	Anisotemnus distentus	species	315536	Bartonian		41.3	38	10312
1312702	occ			176169	Utaetus buccatus ?	species	316321		Utaetus buccatus	species	316321	Bartonian		41.3	38	57836
1312703	occ			176169	Notostylops murinus	species	187992		Notostylops murinus	species	187992	Bartonian		41.3	38	57836
1312704	occ			176169	Oldfieldthomasia indet.	genus	65751		Oldfieldthomasia	genus	65751	Bartonian		41.3	38	57836
1312705	occ			176169	Antepithecus brachystephanus ?	species	65748		Antepithecus brachystephanus	species	65748	Bartonian		41.3	38	57836
1312708	occ			44956	Adiantoides n. sp. magnus	species	337057		Adiantoides magnus	species	337057	Lutetian		47.8	41.3	58245
1312709	occ			44956	Didolodus n. sp. minor	species	335625		Didolodus minor	species	335625	Lutetian		47.8	41.3	10369
1312710	occ			44956	Asmithwoodwardia cf. subtrigona	species	314610		Asmithwoodwardia subtrigona	species	314610	Lutetian		47.8	41.3	10369
1312711	occ			44956	Victorlemoineia indet.	genus	43504		Victorlemoineia	genus	43504	Lutetian		47.8	41.3	10369
1312712	occ			44956	Anisolambda fissidens	species	314621		Anisolambda fissidens	species	314621	Lutetian		47.8	41.3	57836
1312713	occ			44956	Anisolambda n. sp. amel	species	335821		Anisolambda amel	species	335821	Lutetian		47.8	41.3	10369
1312714	occ			44956	Henricosbornia lophodonta	species	314556		Henricosbornia lophodonta	species	314556	Lutetian		47.8	41.3	57836
1312715	occ			44956	Othnielmarshia lacunifera	species	314557		Othnielmarshia lacunifera	species	314557	Lutetian		47.8	41.3	10369
1312716	occ			44956	Peripantostylops minutus	species	318240		Peripantostylops minutus	species	315741	Lutetian		47.8	41.3	10369
1312717	occ			44956	Notostylops pendens	species	335831		Notostylops pendens	species	315728	Lutetian		47.8	41.3	10369
1312718	occ			44956	Notostylops appressus	species	335832		Notostylops appressus	species	315826	Lutetian		47.8	41.3	10369
1312719	occ			44956	Homalostylops sp.	genus	43336		Homalostylops	genus	43336	Lutetian		47.8	41.3	57836
1312720	occ			44956	Edvardotrouessartia sola	species	314709		Edvardotrouessartia sola	species	314709	Lutetian		47.8	41.3	10369
1312721	occ			44956	Maxschlosseria consumata	species	335841		Maxschlosseria consumata	species	315541	Lutetian		47.8	41.3	10312
1312722	occ			44956	Acropithecus rigidus	species	335846	subjective synonym of	Archaeopithecus rogeri	species	187906	Lutetian		47.8	41.3	10312
1312723	occ			44956	Pleurostylodon similis	species	315543		Pleurostylodon similis	species	315543	Lutetian		47.8	41.3	10312
1312724	occ			44956	Isotemnus primitivus	species	187983		Isotemnus primitivus	species	187983	Lutetian		47.8	41.3	10312
1312725	occ			44956	Thomashuxleya externa	species	314734		Thomashuxleya externa	species	314734	Lutetian		47.8	41.3	10312
1312726	occ			44956	n. gen. Scaglia n. sp. kraglievichorum	species	55029		Scaglia kraglievichorum	species	55029	Lutetian		47.8	41.3	10312
1312727	occ			44956	Trigonostylops wortmani ?	species	187998		Trigonostylops wortmani	species	187998	Lutetian		47.8	41.3	10312
1312728	occ			44956	Albertogaudrya indet.	genus	58787		Albertogaudrya	genus	58787	Lutetian		47.8	41.3	57836
1312729	occ			176170	Polydolops thomasi	species	188006		Polydolops thomasi	species	188006	Lutetian		47.8	41.3	57836
1312730	occ			176171	Polydolops thomasi	species	188006		Polydolops thomasi	species	188006	Lutetian		47.8	41.3	57836
1312731	occ			176170	Pleurostylodon ? similis	species	315543		Pleurostylodon similis	species	315543	Lutetian		47.8	41.3	57836
1312732	occ			176172	Pleurostylodon ? similis	species	315543		Pleurostylodon similis	species	315543	Lutetian		47.8	41.3	57836
1312733	occ			176173	Pleurostylodon ? similis	species	315543		Pleurostylodon similis	species	315543	Lutetian		47.8	41.3	57836
1312734	occ			176174	Pleurostylodon ? similis	species	315543		Pleurostylodon similis	species	315543	Lutetian		47.8	41.3	57836
1312735	occ			176170	Thomashuxleya externa	species	314734		Thomashuxleya externa	species	314734	Lutetian		47.8	41.3	57836
1312736	occ			176172	Thomashuxleya externa	species	314734		Thomashuxleya externa	species	314734	Lutetian		47.8	41.3	57836
1312737	occ			176173	Thomashuxleya externa	species	314734		Thomashuxleya externa	species	314734	Lutetian		47.8	41.3	57836
1312738	occ			176174	Thomashuxleya externa	species	314734		Thomashuxleya externa	species	314734	Lutetian		47.8	41.3	57836
1312739	occ			176175	Notostylops murinus	species	187992		Notostylops murinus	species	187992	Bartonian		41.3	38	57836
1312740	occ			176175	Notopithecus adapinus	species	65749		Notopithecus adapinus	species	65749	Bartonian		41.3	38	57836
1312741	occ			176172	Isotemnus primitivus	species	187983		Isotemnus primitivus	species	187983	Lutetian		47.8	41.3	57836
1312742	occ			176170	Henricosbornia lophodonta	species	314556		Henricosbornia lophodonta	species	314556	Lutetian		47.8	41.3	57836
1312743	occ			176172	Henricosbornia lophodonta	species	314556		Henricosbornia lophodonta	species	314556	Lutetian		47.8	41.3	57836
1312744	occ			176173	Henricosbornia lophodonta	species	314556		Henricosbornia lophodonta	species	314556	Lutetian		47.8	41.3	57836
1312745	occ			176170	Othnielmarshia lacunifera	species	314557		Othnielmarshia lacunifera	species	314557	Lutetian		47.8	41.3	57836
1312746	occ			176172	Othnielmarshia lacunifera	species	314557		Othnielmarshia lacunifera	species	314557	Lutetian		47.8	41.3	57836
1312747	occ			176170	Peripantostylops minutus	species	318240		Peripantostylops minutus	species	315741	Lutetian		47.8	41.3	57836
1312748	occ			176170	Notostylops pendens	species	335831		Notostylops pendens	species	315728	Lutetian		47.8	41.3	57836
1312749	occ			176172	Notostylops pendens	species	335831		Notostylops pendens	species	315728	Lutetian		47.8	41.3	57836
1312750	occ			176173	Notostylops pendens	species	335831		Notostylops pendens	species	315728	Lutetian		47.8	41.3	57836
1312751	occ			176174	Notostylops pendens	species	335831		Notostylops pendens	species	315728	Lutetian		47.8	41.3	57836
1312752	occ			176170	Maxschlosseria consumata	species	335841		Maxschlosseria consumata	species	315541	Lutetian		47.8	41.3	57836
1312753	occ			176170	Acropithecus rigidus	species	335846	subjective synonym of	Archaeopithecus rogeri	species	187906	Lutetian		47.8	41.3	57836
1312754	occ			176173	Acropithecus rigidus	species	335846	subjective synonym of	Archaeopithecus rogeri	species	187906	Lutetian		47.8	41.3	57836
1312755	occ			176170	Didolodus minor	species	335625		Didolodus minor	species	335625	Lutetian		47.8	41.3	57836
1312756	occ			176170	Asmithwoodwardia subtrigona	species	314610		Asmithwoodwardia subtrigona	species	314610	Lutetian		47.8	41.3	57836
1312757	occ			176170	Victorlemoineia indet.	genus	43504		Victorlemoineia	genus	43504	Lutetian		47.8	41.3	57836
1312758	occ			176170	Anisolambda fissidens	species	314621		Anisolambda fissidens	species	314621	Lutetian		47.8	41.3	57836
1312759	occ			176170	Anisolambda amel	species	335821		Anisolambda amel	species	335821	Lutetian		47.8	41.3	57836
1312760	occ			176174	Notostylops appressus	species	335832		Notostylops appressus	species	315826	Lutetian		47.8	41.3	57836
1312761	occ			176170	Homalostylops sp.	genus	43336		Homalostylops	genus	43336	Lutetian		47.8	41.3	57836
1312762	occ	35924		176170	Trigonostylops wortmani	species	187998		Trigonostylops wortmani	species	187998	Lutetian		47.8	41.3	69959
1312763	occ			176173	Trigonostylops wortmani ?	species	187998		Trigonostylops wortmani	species	187998	Lutetian		47.8	41.3	57836
1312764	occ			176174	Trigonostylops wortmani ?	species	187998		Trigonostylops wortmani	species	187998	Lutetian		47.8	41.3	57836
1312765	occ			176174	Albertogaudrya indet.	genus	58787		Albertogaudrya	genus	58787	Lutetian		47.8	41.3	57836
1312766	occ			176170	Polydolops borcurhor	species	40071	species not entered	Polydolops	genus	40071	Lutetian		47.8	41.3	57836
1312767	occ			176170	Prostegotherium indet.	genus	43553		Prostegotherium	genus	43553	Lutetian		47.8	41.3	57836
1312768	occ			176171	Notostylops indet.	genus	43339		Notostylops	genus	43339	Lutetian		47.8	41.3	57836
1312769	occ			176172	Maxschlosseria minuta	species	335842		Maxschlosseria minuta	species	315723	Lutetian		47.8	41.3	57836
1312770	occ			176175	Ultrapithecus cf. rutilans	species	314562		Ultrapithecus rutilans	species	314562	Bartonian		41.3	38	57836
1312771	occ			176172	Acropithecus rigidus ?	species	335846	subjective synonym of	Archaeopithecus rogeri	species	187906	Lutetian		47.8	41.3	57836
1312772	occ			176175	Eohyrax praerusticus	species	315760		Eohyrax praerusticus	species	315760	Bartonian		41.3	38	57836
1312773	occ			176170	Isotemnus primitivus ?	species	187983		Isotemnus primitivus	species	187983	Lutetian		47.8	41.3	57836
1312774	occ			13779	Coona n. sp. gaudryi	species	337155		Coona gaudryi	species	337155	Bartonian		41.3	38	10312
1312775	occ			13779	Caroloameghinia mater	species	314548		Caroloameghinia mater	species	314548	Bartonian		41.3	38	10369
1312776	occ			13779	Arminiheringia auceta ?	species	53710		Arminiheringia auceta	species	53710	Bartonian		41.3	38	57836
1312777	occ			13779	Utaetus n. sp. buccatus	species	316321		Utaetus buccatus	species	316321	Bartonian		41.3	38	54480
1312778	occ			13779	Anteutatus lenis	species	316319	recombined as	Utaetus lenis	species	316319	Bartonian		41.3	38	10369
1312779	occ			13779	Utaetus n. sp. deustus	species	316324		Utaetus deustus	species	316324	Bartonian		41.3	38	54480
1312780	occ			13779	"Pseudostegotherium" n. sp. chubutanum	species	316349		Pseudostegotherium chubutanum	species	316349	Bartonian		41.3	38	54480
1312781	occ			13779	Prostegotherium n. sp. notostylopianum	species	316350		Prostegotherium notostylopianum	species	316350	Bartonian		41.3	38	54480
1312782	occ			13779	Didolodus multicuspis	species	187937		Didolodus multicuspis	species	187937	Bartonian		41.3	38	10369
1312783	occ			13779	Paulogervaisia n. sp. inusta	species	314682		Paulogervaisia inusta	species	314682	Bartonian		41.3	38	54301
1312784	occ			13779	Lambdaconus n. sp. porcus	species	314603	recombined as	Paulogervaisia porca	species	314603	Bartonian		41.3	38	54301
1312785	occ			13779	Lambdaconus n. sp. mamma	species	314602	recombined as	Paulogervaisia mamma	species	314602	Bartonian		41.3	38	54301
1312786	occ			13779	Proectocion n. sp. argentinus	species	318274		Proectocion argentinus	species	318274	Bartonian		41.3	38	54855
1312787	occ			13779	Proectocion n. sp. precisus	species	318275		Proectocion precisus	species	318275	Bartonian		41.3	38	54855
1312788	occ			13779	Ernestokokenia nitida	species	314611		Ernestokokenia nitida	species	314611	Bartonian		41.3	38	10369
1312789	occ			13779	Anisolambda fissidens	species	314621		Anisolambda fissidens	species	314621	Bartonian		41.3	38	57836
1312790	occ			13779	n. gen. Guilielmofloweria n. sp. plicata	species	314706		Guilielmofloweria plicata	species	314706	Bartonian		41.3	38	54301
1312791	occ			13779	Henricosbornia lophodonta ?	species	314556		Henricosbornia lophodonta	species	314556	Bartonian		41.3	38	57836
1312792	occ			13779	n. gen. Notostylops n. sp. murinus	species	187992		Notostylops murinus	species	187992	Bartonian		41.3	38	36444
1312793	occ			13779	Notostylops n. sp. parvus	species	187994	recombined as	Homalostylops parvus	species	187994	Bartonian		41.3	38	36444
1312794	occ			13779	Oldfieldthomasia debilitata	species	65752		Oldfieldthomasia debilitata	species	65752	Bartonian		41.3	38	10312
1312795	occ			13779	Oldfieldthomasia n. sp. parvidens	species	314579		Oldfieldthomasia parvidens	species	314579	Bartonian		41.3	38	54301
1312796	occ			13779	n. gen. Ultrapithecus n. sp. rutilans	species	314562		Ultrapithecus rutilans	species	314562	Bartonian		41.3	38	54301
1312797	occ	32063		13779	Coelostylodon n. sp. caroloameghinoi	species	58188		Coelostylodon caroloameghinoi	species	58188	Bartonian		41.3	38	57986
1312798	occ			13779	"Acoelodus" n. sp. proclivus	species	315762		Acoelodus proclivus	species	315762	Bartonian		41.3	38	54480
1312799	occ			13779	Paginula parca	species	315714		Paginula parca	species	315714	Bartonian		41.3	38	57836
1312800	occ			13779	n. gen. Archaeopithecus n. sp. rogeri	species	187906		Archaeopithecus rogeri	species	187906	Bartonian		41.3	38	36444
1312801	occ			13779	n. gen. Notopithecus n. sp. adapinus	species	65749		Notopithecus adapinus	species	65749	Bartonian		41.3	38	36444
1312802	occ			13779	Antepithecus n. sp. brachystephanus	species	65748		Antepithecus brachystephanus	species	65748	Bartonian		41.3	38	54301
1312803	occ			13779	Transpithecus n. sp. obtentus	species	314553		Transpithecus obtentus	species	314553	Bartonian		41.3	38	54301
1312804	occ			13779	Eohyrax n. sp. isotemnoides	species	318192		Eohyrax isotemnoides	species	318192	Bartonian		41.3	38	54480
1312805	occ			13779	Eohyrax n. sp. praerusticus	species	315760		Eohyrax praerusticus	species	315760	Bartonian		41.3	38	54480
1312806	occ			13779	Pleurostylodon modicus	species	187988		Pleurostylodon modicus	species	187988	Bartonian		41.3	38	10312
1312807	occ			13779	Anisotemnus distentus	species	315795		Anisotemnus distentus	species	315536	Bartonian		41.3	38	10312
1312808	occ			13779	Plexotemnus n. sp. complicatissimus	species	58186	recombined as	Acoelohyrax complicatissimus	species	58186	Bartonian		41.3	38	54855
1312809	occ			13779	Isotemnus primitivus	species	187983		Isotemnus primitivus	species	187983	Bartonian		41.3	38	57943
1312810	occ			13779	Thomashuxleya rostrata	species	314731		Thomashuxleya rostrata	species	314731	Bartonian		41.3	38	10312
1312811	occ			13779	n. gen. Trigonostylops n. sp. wortmani	species	187998		Trigonostylops wortmani	species	187998	Bartonian		41.3	38	36444
1312812	occ			13779	Albertogaudrya unica	species	58789		Albertogaudrya unica	species	58789	Bartonian		41.3	38	10312
1312813	occ			176186	n. gen. Patene n. sp. coluapiensis	species	99576		Patene coluapiensis	species	99576	Bartonian		41.3	38	57836
1312814	occ			176182	Amphidolops serrula	species	315846		Amphidolops serrula	species	315846	Bartonian		41.3	38	57836
1312815	occ			176185	Polydolops thomasi	species	188006		Polydolops thomasi	species	188006	Bartonian		41.3	38	57836
1312816	occ			176186	Polydolops thomasi	species	188006		Polydolops thomasi	species	188006	Bartonian		41.3	38	57836
1312817	occ			176180	Notostylops murinus	species	187992		Notostylops murinus	species	187992	Bartonian		41.3	38	57836
1312818	occ			176181	Notostylops murinus	species	187992		Notostylops murinus	species	187992	Bartonian		41.3	38	57836
1312819	occ			176182	Notostylops murinus	species	187992		Notostylops murinus	species	187992	Bartonian		41.3	38	57836
1312820	occ			176184	Notostylops murinus	species	187992		Notostylops murinus	species	187992	Bartonian		41.3	38	57836
1312821	occ			176185	Notostylops murinus	species	187992		Notostylops murinus	species	187992	Bartonian		41.3	38	57836
1312822	occ			176186	Notostylops murinus	species	187992		Notostylops murinus	species	187992	Bartonian		41.3	38	57836
1312823	occ			176181	Notopithecus adapinus	species	65749		Notopithecus adapinus	species	65749	Bartonian		41.3	38	57836
1312824	occ			176182	Notopithecus adapinus	species	65749		Notopithecus adapinus	species	65749	Bartonian		41.3	38	57836
1312825	occ			176185	Notopithecus adapinus	species	65749		Notopithecus adapinus	species	65749	Bartonian		41.3	38	57836
1312826	occ			176186	Notopithecus adapinus	species	65749		Notopithecus adapinus	species	65749	Bartonian		41.3	38	57836
1312827	occ			176192	Notopithecus adapinus	species	65749		Notopithecus adapinus	species	65749	Bartonian		41.3	38	57836
1312828	occ			176180	Pleurostylodon modicus	species	187988		Pleurostylodon modicus	species	187988	Bartonian		41.3	38	57836
1312829	occ			176181	Pleurostylodon modicus	species	187988		Pleurostylodon modicus	species	187988	Bartonian		41.3	38	57836
1312830	occ			176182	Pleurostylodon modicus	species	187988		Pleurostylodon modicus	species	187988	Bartonian		41.3	38	57836
1312831	occ			176184	Pleurostylodon modicus	species	187988		Pleurostylodon modicus	species	187988	Bartonian		41.3	38	57836
1312832	occ			176185	Pleurostylodon modicus	species	187988		Pleurostylodon modicus	species	187988	Bartonian		41.3	38	57836
1312833	occ			176187	Pleurostylodon modicus	species	187988		Pleurostylodon modicus	species	187988	Bartonian		41.3	38	57836
1312834	occ			176191	Pleurostylodon modicus	species	187988		Pleurostylodon modicus	species	187988	Bartonian		41.3	38	57836
1312835	occ			176185	Thomashuxleya rostrata	species	314731		Thomashuxleya rostrata	species	314731	Bartonian		41.3	38	57836
1312836	occ			176190	Thomashuxleya rostrata	species	314731		Thomashuxleya rostrata	species	314731	Bartonian		41.3	38	57836
1312837	occ			176190	Trigonostylops wortmani	species	187998		Trigonostylops wortmani	species	187998	Bartonian		41.3	38	57836
1312838	occ			176190	Albertogaudrya unica	species	58789		Albertogaudrya unica	species	58789	Bartonian		41.3	38	57836
1312839	occ			176180	Oldfieldthomasia debilitata	species	65752		Oldfieldthomasia debilitata	species	65752	Bartonian		41.3	38	57836
1312840	occ			176181	Oldfieldthomasia debilitata	species	65752		Oldfieldthomasia debilitata	species	65752	Bartonian		41.3	38	57836
1312841	occ			176182	Oldfieldthomasia debilitata	species	65752		Oldfieldthomasia debilitata	species	65752	Bartonian		41.3	38	57836
1312842	occ			176185	Oldfieldthomasia debilitata	species	65752		Oldfieldthomasia debilitata	species	65752	Bartonian		41.3	38	57836
1312843	occ			176186	Oldfieldthomasia debilitata	species	65752		Oldfieldthomasia debilitata	species	65752	Bartonian		41.3	38	57836
1312844	occ			176191	Oldfieldthomasia debilitata	species	65752		Oldfieldthomasia debilitata	species	65752	Bartonian		41.3	38	57836
1312845	occ			176188	Isotemnus primitivus	species	187983		Isotemnus primitivus	species	187983	Bartonian		41.3	38	57836
1312846	occ			176186	Homalostylops sp.	genus	43336		Homalostylops	genus	43336	Bartonian		41.3	38	57836
1312847	occ			176181	Trigonostylops wortmani ?	species	187998		Trigonostylops wortmani	species	187998	Bartonian		41.3	38	57836
1312848	occ			176182	Trigonostylops wortmani ?	species	187998		Trigonostylops wortmani	species	187998	Bartonian		41.3	38	57836
1312849	occ			176181	Albertogaudrya indet.	genus	58787		Albertogaudrya	genus	58787	Bartonian		41.3	38	57836
1312850	occ			176189	Notostylops indet.	genus	43339		Notostylops	genus	43339	Bartonian		41.3	38	57836
1312851	occ			176190	Notostylops indet.	genus	43339		Notostylops	genus	43339	Bartonian		41.3	38	57836
1312852	occ			176186	Caroloameghinia mater	species	314548		Caroloameghinia mater	species	314548	Bartonian		41.3	38	57836
1312853	occ			176186	Utaetus buccatus	species	316321		Utaetus buccatus	species	316321	Bartonian		41.3	38	57836
1312854	occ			176180	Didolodus multicuspis	species	187937		Didolodus multicuspis	species	187937	Bartonian		41.3	38	57836
1312855	occ			176186	Didolodus multicuspis	species	187937		Didolodus multicuspis	species	187937	Bartonian		41.3	38	57836
1312856	occ			176181	Ernestokokenia nitida	species	314611		Ernestokokenia nitida	species	314611	Bartonian		41.3	38	57836
1312857	occ			176180	Henricosbornia lophodonta ?	species	314556		Henricosbornia lophodonta	species	314556	Bartonian		41.3	38	57836
1312858	occ			176189	Homalostylops parvus	species	335834		Homalostylops parvus	species	187994	Bartonian		41.3	38	57836
1312859	occ			176180	Ultrapithecus rutilans	species	314562		Ultrapithecus rutilans	species	314562	Bartonian		41.3	38	57836
1312860	occ			176181	Ultrapithecus rutilans	species	314562		Ultrapithecus rutilans	species	314562	Bartonian		41.3	38	57836
1312861	occ			176185	Ultrapithecus rutilans	species	314562		Ultrapithecus rutilans	species	314562	Bartonian		41.3	38	57836
1312862	occ			176189	Ultrapithecus rutilans	species	314562		Ultrapithecus rutilans	species	314562	Bartonian		41.3	38	57836
1312863	occ			176180	Antepithecus brachystephanus	species	65748		Antepithecus brachystephanus	species	65748	Bartonian		41.3	38	57836
1312864	occ			176181	Antepithecus brachystephanus	species	65748		Antepithecus brachystephanus	species	65748	Bartonian		41.3	38	57836
1312865	occ			176182	Antepithecus brachystephanus	species	65748		Antepithecus brachystephanus	species	65748	Bartonian		41.3	38	57836
1312866	occ			176183	Antepithecus brachystephanus	species	65748		Antepithecus brachystephanus	species	65748	Bartonian		41.3	38	57836
1312867	occ			176185	Antepithecus brachystephanus	species	65748		Antepithecus brachystephanus	species	65748	Bartonian		41.3	38	57836
1312868	occ			176180	Eohyrax isotemnoides	species	318192		Eohyrax isotemnoides	species	318192	Bartonian		41.3	38	57836
1312869	occ			176181	Eohyrax isotemnoides	species	318192		Eohyrax isotemnoides	species	318192	Bartonian		41.3	38	57836
1312870	occ			176182	Eohyrax isotemnoides	species	318192		Eohyrax isotemnoides	species	318192	Bartonian		41.3	38	57836
1312871	occ			176181	Amphidolops indet.	genus	40067		Amphidolops	genus	40067	Bartonian		41.3	38	57836
1312872	occ			176181	Utaetus indet.	genus	43562		Utaetus	genus	43562	Bartonian		41.3	38	57836
1312873	occ			176184	Utaetus indet.	genus	43562		Utaetus	genus	43562	Bartonian		41.3	38	57836
1312874	occ			176190	Notopithecus adapinus ?	species	65749		Notopithecus adapinus	species	65749	Bartonian		41.3	38	57836
1312875	occ			176180	Notopithecus indet.	genus	43419		Notopithecus	genus	43419	Bartonian		41.3	38	57836
1312876	occ			176186	Transpithecus obtentus ?	species	314553		Transpithecus obtentus	species	314553	Bartonian		41.3	38	57836
