occurrence_no	record_type	reid_no	flags	collection_no	identified_name	identified_rank	identified_no	difference	accepted_name	accepted_rank	accepted_no	early_interval	late_interval	max_ma	min_ma	reference_no
212934	occ			21687	Lutra longicaudis	species	137412	recombined as	Lontra longicaudis	species	137412	Holocene		0.0117	0	4787
212935	occ			21687	Nasua nasua	species	231412		Nasua nasua	species	231411	Holocene		0.0117	0	4787
212936	occ			21687	Potos flavus	species	232928		Potos flavus	species	232927	Holocene		0.0117	0	4787
212937	occ			21687	Caluromys lanatus	species	284727		Caluromys lanatus	species	284727	Holocene		0.0117	0	4787
212938	occ			21687	Caluromys philander	species	233578		Caluromys philander	species	104185	Holocene		0.0117	0	4787
212939	occ			21687	Didelphis marsupialis	species	45701		Didelphis marsupialis	species	45701	Holocene		0.0117	0	4787
212940	occ			21687	Marmosa cinerea	species	39970	species not entered	Marmosa	genus	39970	Holocene		0.0117	0	4787
212941	occ			21687	Marmosa murina	species	233580		Marmosa murina	species	104187	Holocene		0.0117	0	4787
212942	occ			21687	Monodelphis brevicaudata	species	284763		Monodelphis brevicaudata	species	284763	Holocene		0.0117	0	4787
212943	occ			21687	Marmosa parvidens	species	39970	species not entered	Marmosa	genus	39970	Holocene		0.0117	0	4787
212944	occ			21687	Metachirus nudicaudatus	species	238612		Metachirus nudicaudatus	species	238611	Holocene		0.0117	0	4787
212945	occ			21687	Tapirus terrestris	species	83610		Tapirus terrestris	species	83609	Holocene		0.0117	0	4787
212946	occ			21687	Alouatta seniculus	species	232537		Alouatta seniculus	species	232536	Holocene		0.0117	0	4787
212947	occ			21687	Ateles paniscus	species	232428		Ateles paniscus	species	104123	Holocene		0.0117	0	4787
212948	occ			21687	Cebus apella	species	232441	recombined as	Sapajus apella	species	104132	Holocene		0.0117	0	4787
212949	occ			21687	Chiropotes satanas	species	385412		Chiropotes satanas	species	385412	Holocene		0.0117	0	4787
212950	occ			21687	Pithecia pithecia	species	384930		Pithecia pithecia	species	384930	Holocene		0.0117	0	4787
212951	occ			21687	Saguinus midas	species	238652		Saguinus midas	species	104130	Holocene		0.0117	0	4787
212952	occ			21687	Mesomys hispidus	species	159115	species not entered	Mesomys	genus	159115	Holocene		0.0117	0	4787
212953	occ			21687	Isothrix pagurus	species	159116	species not entered	Isothrix	genus	159116	Holocene		0.0117	0	4787
212954	occ			21687	Proechimys cuvieri	species	159117	species not entered	Proechimys	genus	159117	Holocene		0.0117	0	4787
212955	occ			21687	Agouti paca	species	233833	recombined as	Cuniculus paca	species	233814	Holocene		0.0117	0	4787
212956	occ			21687	Proechimys guyannensis	species	159117	species not entered	Proechimys	genus	159117	Holocene		0.0117	0	4787
212957	occ			21687	Dasypus novemcinctus	species	45560	recombined as	Dasypus (Dasypus) novemcinctus	species	45560	Holocene		0.0117	0	4787
212958	occ			21687	Tamandua tetradactyla	species	233569		Tamandua tetradactyla	species	104151	Holocene		0.0117	0	4787
212959	occ			21687	Myrmecophaga tridactyla	species	48923		Myrmecophaga tridactyla	species	48923	Holocene		0.0117	0	4787
212960	occ			21687	Oryzomys bicolor	species	41828	species not entered	Oryzomys	genus	41828	Holocene		0.0117	0	4787
212961	occ			21687	Coendou prehensilis	species	233581		Coendou prehensilis	species	104190	Holocene		0.0117	0	4787
212962	occ			21687	Philander opossum	species	233816		Philander opossum	species	104186	Holocene		0.0117	0	4787
212963	occ			21687	Bradypus tridactylus	species	104148		Bradypus tridactylus	species	104148	Holocene		0.0117	0	4787
212964	occ			21687	Cyclopes didactylus	species	83037	species not entered	Cyclopes	genus	83037	Holocene		0.0117	0	4787
212965	occ			21687	Priodontes maximus	species	233757		Priodontes maximus	species	233756	Holocene		0.0117	0	4787
212966	occ			21687	Dasypus kappleri	species	161181	recombined as	Dasypus (Hyperoambon) kappleri	species	161181	Holocene		0.0117	0	4787
212967	occ			21687	Sciurus gilvigularis	species	41525	species not entered	Sciurus	genus	41525	Holocene		0.0117	0	4787
212968	occ			21687	Oryzomys capito	species	41828	species not entered	Oryzomys	genus	41828	Holocene		0.0117	0	4787
212969	occ			21687	Oryzomys macconnelli	species	41828	species not entered	Oryzomys	genus	41828	Holocene		0.0117	0	4787
212970	occ			21687	Oryzomys paricola	species	41828	species not entered	Oryzomys	genus	41828	Holocene		0.0117	0	4787
212971	occ			21687	Neacomys guianae	species	159120	species not entered	Neacomys	genus	159120	Holocene		0.0117	0	4787
212972	occ			21687	Rhipidomys mastacalis	species	380030		Rhipidomys mastacalis	species	380030	Holocene		0.0117	0	4787
212973	occ			21687	Tayassu pecari	species	52099		Tayassu pecari	species	51898	Holocene		0.0117	0	4787
212974	occ			21687	Mazama americana	species	238326		Mazama americana	species	238325	Holocene		0.0117	0	4787
212975	occ			21687	Mazama gouazoubira	species	149410	recombined as	Cervus gouazoubira	species	149409	Holocene		0.0117	0	4787
212976	occ			21687	Felis concolor	species	46513	recombined as	Puma concolor	species	46513	Holocene		0.0117	0	4787
212977	occ			21687	Panthera onca	species	49735		Panthera onca	species	46524	Holocene		0.0117	0	4787
213037	occ			21689	Tayassu tajacu	species	52101	recombined as	Pecari tajacu	species	51899	Holocene		0.0117	0	4790
213038	occ			21689	Felis pardalis	species	46525	recombined as	Leopardus pardalis	species	46525	Holocene		0.0117	0	4790
213039	occ			21689	Felis yagouaroundi	species	46533	recombined as	Puma yagouaroundi	species	46533	Holocene		0.0117	0	4790
213040	occ			21689	Eira barbara	species	232924		Eira barbara	species	104166	Holocene		0.0117	0	4790
213041	occ			21689	Galictis vittata	species	232912		Galictis vittata	species	232911	Holocene		0.0117	0	4790
213042	occ			21689	Lutra longicaudis	species	137412	recombined as	Lontra longicaudis	species	137412	Holocene		0.0117	0	4790
213043	occ			21689	Pteronura brasiliensis	species	156976		Pteronura brasiliensis	species	231845	Holocene		0.0117	0	4790
213044	occ			21689	Bassaricyon gabbii	species	157498		Bassaricyon gabbii	species	157498	Holocene		0.0117	0	4790
213045	occ			21689	Nasua nasua	species	231412		Nasua nasua	species	231411	Holocene		0.0117	0	4790
213046	occ			21689	Potos flavus	species	232928		Potos flavus	species	232927	Holocene		0.0117	0	4790
213047	occ			21689	Sylvilagus brasiliensis	species	233586		Sylvilagus brasiliensis	species	104195	Holocene		0.0117	0	4790
213048	occ			21689	Caluromys lanatus	species	284727		Caluromys lanatus	species	284727	Holocene		0.0117	0	4790
213049	occ			21689	Didelphis marsupialis	species	45701		Didelphis marsupialis	species	45701	Holocene		0.0117	0	4790
213050	occ			21689	Philander opposum	species	284762		Philander opposum	species	284762	Holocene		0.0117	0	4790
213051	occ			21689	Metachirus nudicaudatus	species	238612		Metachirus nudicaudatus	species	238611	Holocene		0.0117	0	4790
213052	occ			21689	Tapirus terrestris	species	83610		Tapirus terrestris	species	83609	Holocene		0.0117	0	4790
213053	occ			21689	Choloepus hoffmanni	species	235353		Choloepus hoffmanni	species	235353	Holocene		0.0117	0	4790
213054	occ			21689	Alouatta seniculus	species	232537		Alouatta seniculus	species	232536	Holocene		0.0117	0	4790
213055	occ			21689	Aotus trivirgatus	species	232711		Aotus trivirgatus	species	232710	Holocene		0.0117	0	4790
