Age	Altitude
25.1	971.566666666667
25.2	970.8
25.3	970.033333333333
25.4	969.266666666667
25.5	968.5
25.6	967.733333333333
25.7	966.966666666667
25.8	966.2
25.9	965.433333333333
26	964.666666666667
26.1	963.3
26.2	961.933333333333
26.3	960.566666666667
26.4	959.2
26.5	957.833333333333
26.6	956.466666666667
26.7	955.1
26.8	953.733333333333
26.9	952.366666666667
27	951
27.1	950.466666666667
27.2	949.933333333333
27.3	949.4
27.4	948.866666666667
27.5	948.333333333333
27.6	947.8
27.7	947.266666666667
27.8	946.733333333333
27.9	946.2
28	945.666666666667
28.1	945.1
28.2	944.533333333333
28.3	943.966666666667
28.4	943.4
28.5	942.833333333333
28.6	942.266666666667
28.7	941.7
28.8	941.133333333333
28.9	940.566666666667
29	940
29.1	939.233333333333
29.2	938.466666666667
29.3	937.7
29.4	936.933333333333
29.5	936.166666666667
29.6	935.4
29.7	934.633333333333
29.8	933.866666666667
29.9	933.1
30	932.333333333333
30.1	931.133333333333
30.2	929.933333333333
30.3	928.733333333333
30.4	927.533333333333
30.5	926.333333333333
30.6	925.133333333333
30.7	923.933333333333
30.8	922.733333333333
30.9	921.533333333333
31	920.333333333333
31.1	919.466666666667
31.2	918.6
31.3	917.733333333333
31.4	916.866666666667
31.5	916
31.6	915.133333333333
31.7	914.266666666667
31.8	913.4
31.9	912.533333333333
32	911.666666666667
32.1	910.066666666667
32.2	908.466666666667
32.3	906.866666666667
32.4	905.266666666667
32.5	903.666666666667
32.6	902.066666666667
32.7	900.466666666667
32.8	898.866666666667
32.9	897.266666666667
33	895.666666666667
33.1	894.633333333333
33.2	893.6
33.3	892.566666666667
33.4	891.533333333333
33.5	890.5
33.6	889.466666666667
33.7	888.433333333333
33.8	887.4
33.9	886.366666666667
34	885.333333333333
34.1	883.6
34.2	881.866666666667
34.3	880.133333333333
34.4	878.4
34.5	876.666666666667
34.6	874.933333333333
34.7	873.2
34.8	871.466666666667
34.9	869.733333333333
35	868
35.1	865.9
35.2	863.8
35.3	861.7
35.4	859.6
35.5	857.5
35.6	855.4
35.7	853.3
35.8	851.2
35.9	849.1
36	847
36.1	845.733333333333
36.2	844.466666666667
36.3	843.2
36.4	841.933333333333
36.5	840.666666666667
36.6	839.4
36.7	838.133333333333
36.8	836.866666666667
36.9	835.6
37	834.333333333333
37.1	833.066666666667
37.2	831.8
37.3	830.533333333333
37.4	829.266666666667
37.5	828
37.6	826.733333333333
37.7	825.466666666667
37.8	824.2
37.9	822.933333333333
38	821.666666666667
38.1	819.533333333333
38.2	817.4
38.3	815.266666666667
38.4	813.133333333333
38.5	811
38.6	808.866666666667
38.7	806.733333333333
38.8	804.6
38.9	802.466666666667
39	800.333333333333
39.1	798.6
39.2	796.866666666667
39.3	795.133333333333
39.4	793.4
39.5	791.666666666667
39.6	789.933333333333
39.7	788.2
39.8	786.466666666667
39.9	784.733333333333
40	783
40.1	780.766666666667
40.2	778.533333333333
40.3	776.3
40.4	774.066666666667
40.5	771.833333333333
40.6	769.6
40.7	767.366666666667
40.8	765.133333333333
40.9	762.9
41	760.666666666667
41.1	757.966666666667
41.2	755.266666666667
41.3	752.566666666667
41.4	749.866666666667
41.5	747.166666666667
41.6	744.466666666667
41.7	741.766666666667
41.8	739.066666666667
41.9	736.366666666667
42	733.666666666667
42.1	731.233333333333
42.2	728.8
42.3	726.366666666667
42.4	723.933333333333
42.5	721.5
42.6	719.066666666667
42.7	716.633333333333
42.8	714.2
42.9	711.766666666667
43	709.333333333333
43.1	707.266666666667
43.2	705.2
43.3	703.133333333333
43.4	701.066666666667
43.5	699
43.6	696.933333333333
43.7	694.866666666667
43.8	692.8
43.9	690.733333333333
44	688.666666666667
44.1	686.566666666667
44.2	684.466666666667
44.3	682.366666666667
44.4	680.266666666667
44.5	678.166666666667
44.6	676.066666666667
44.7	673.966666666667
44.8	671.866666666667
44.9	669.766666666667
45	667.666666666667
45.1	666.3
45.2	664.933333333333
45.3	663.566666666667
45.4	662.2
45.5	660.833333333333
45.6	659.466666666667
45.7	658.1
45.8	656.733333333333
45.9	655.366666666667
46	654
46.1	652.6
46.2	651.2
46.3	649.8
46.4	648.4
46.5	647
46.6	645.6
46.7	644.2
46.8	642.8
46.9	641.4
47	640
47.1	638.766666666667
47.2	637.533333333333
47.3	636.3
47.4	635.066666666667
47.5	633.833333333333
47.6	632.6
47.7	631.366666666667
47.8	630.133333333333
47.9	628.9
48	627.666666666667
48.1	626.266666666667
48.2	624.866666666667
48.3	623.466666666667
