collection_no	source_database	collection.authorizer	family_name	family_extant	genus_extant	species_extant	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	country	state	period	epoch	stage	ma_max	ma_min	formation
13749	Fossilworks	"J. Alroy"	Hondadelphidae			no		Hondadelphys		fieldsi					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Noctilionidae	yes	yes	yes		Noctilio		albiventris					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Phyllostomatidae	yes		no		Notonycteris		magdalenensis					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Thyropteridae	yes	yes	yes		Thyroptera	"n. sp."	robusta					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Thyropteridae	yes	yes		cf.	Thyroptera		tricolor					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Phyllostomatidae	yes		no		Notonycteris		sucharadeus					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Thyropteridae	yes	yes	yes		Thyroptera		lavali					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Phyllostomidae	yes		no		Palynephyllum		antimaster					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13749	Fossilworks	"J. Alroy"	Phyllostomidae	yes	yes			Tonatia		sp.					Colombia		Neogene	Miocene		16.300	15.500	Villavieja
13750	Fossilworks	"J. Alroy"	Glyptodontidae	yes	no	no	"n. gen."	Boreostemma	"n. sp."	gigantea	"n. gen."	Asterostemma	"n. sp."	gigantea	Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13750	Fossilworks	"J. Alroy"	Hondadelphidae			no		Hondadelphys		fieldsi					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13750	Fossilworks	"J. Alroy"				no		Lycopsis		longirostrus					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13750	Fossilworks	"J. Alroy"				no		Pithiculites		chenche					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13750	Fossilworks	"J. Alroy"	Mylodontidae		no	no		Neonematherium		flabellatum					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13750	Fossilworks	"J. Alroy"	Trichechinae	yes	no	no		Potamosiren		magdalenensis					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13750	Fossilworks	"J. Alroy"	Proterotheriidae	no		no		Villarroelia		totoyoi					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13754	Fossilworks	"J. Alroy"	Glyptodontidae	yes	no	no		Boreostemma		gigantea		Asterostemma		gigantea	Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13754	Fossilworks	"J. Alroy"	Proterotheriidae	no		no		Villarroelia		totoyoi					Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
13757	Fossilworks	"J. Alroy"	Glyptodontidae	yes	no	no		Boreostemma		gigantea		Asterostemma		gigantea	Colombia		Neogene	Miocene		16.300	15.500	"La Victoria"
