"","collection_no","source_database","collection.authorizer","family_name","family_extant","genus_extant","species_extant","occurrence.genus_reso","occurrence.genus_name","occurrence.species_reso","occurrence.species_name","original.genus_reso","original.genus_name","original.species_reso","original.species_name","country","state","period","epoch","stage","ma_max","ma_min","formation"
"82",13522,"Fossilworks","J. Alroy","Iniidae","yes","no","no","n. gen.","Saurocetes","n. sp.","argentinus","","","","","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entre Rios"
"83",13522,"Fossilworks","J. Alroy","Cetotheriidae","","no","no","","Palaeobalaena","","bergi","","Palaeobalaena","","bergii","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entre Rios"
"84",13522,"Fossilworks","J. Alroy","Cetotheriidae","","no","","","Palaeobalaena","","dubia","","","","","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entre Rios"
"85",13522,"Fossilworks","J. Alroy","Iniidae","yes","no","no","n. gen.","Ischyrorhynchus","n. sp.","vanbenedeni","n. gen.","Anisodelphis","n. sp.","brevirostratus","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entre Rios"
"86",13522,"Fossilworks","J. Alroy","Iniidae","yes","no","","","Saurocetes","n. sp.","acutirostratus","","Saurodelphis","n. sp.","acutirostratus","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entre Rios"
"87",13522,"Fossilworks","J. Alroy","Hydrochoeridae","yes","no","no","","Phugatherium","","cataclisticum","","Protohydrochoerus","","sp.","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entre Rios"
"88",13626,"Fossilworks","J. Alroy","Pontoporiidae","yes","no","no","","Pontistes","n. sp.","rectifrons","","Delphinus","n. sp.","rectifrons","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entrerriana"
"89",13626,"Fossilworks","J. Alroy","Toxodontidae","no","no","no","","Toxodon","","paranensis","","","","","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entrerriana"
"90",13626,"Fossilworks","J. Alroy","Trichechinae","yes","no","no","n. gen.","Ribodon","n. sp.","limbatus","","","","","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entrerriana"
"91",13626,"Fossilworks","J. Alroy","","","yes","no","","Arctocephalus","n. sp.","fischeri","","Otaria","n. sp.","fischeri","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entrerriana"
"92",13626,"Fossilworks","J. Alroy","","","","no","n. gen.","Notictis","n. sp.","ortizii","n. gen.","Notictis","n. sp.","ortizi","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entrerriana"
"93",13626,"Fossilworks","J. Alroy","","","","no","n. gen.","Stylocynus","n. sp.","paranensis","","","","","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entrerriana"
"94",13626,"Fossilworks","J. Alroy","Didelphidae","yes","yes","","","Chironectes","","NA","","Chironectes","","minimus","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entrerriana"
"95",13626,"Fossilworks","J. Alroy","Macraucheniidae","","no","","","Scalabrinitherium","","paranense","","Palaeotherium","","paranense","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entrerriana"
"96",13626,"Fossilworks","J. Alroy","Proterotheriidae","no","no","no","","Proterotherium","","americanum","","Anoplotherium","","americanum","Argentina","Entre Rios","Neogene","Miocene","Tortonian",11.608,7.246,"Entrerriana"
"97",13630,"Fossilworks","J. Alroy","","","yes","no","","Aotus","n. sp.","dindensis","","","","","Colombia","Huila","Neogene","Miocene","",16.3,15.5,"Honda"
"98",13630,"Fossilworks","J. Alroy","Pitheciidae","yes","no","","cf.","Nuciruptor","","NA","","","","","Colombia","Huila","Neogene","Miocene","",16.3,15.5,"Honda"
"99",13650,"Fossilworks","J. Alroy","Dasypodidae","yes","","no","n. gen.","Nanoastegotherium","n. sp.","prostatum","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"100",13650,"Fossilworks","J. Alroy","Mylodontidae","","no","no","","Neonematherium","","flabellatum","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"La Victoria"
"101",13651,"Fossilworks","J. Alroy","Dasypodidae","yes","no","no","","Proeuphractus","","limpidus","","","","","Uruguay","San Jose","","","",9,2.588,"Kiyu"
"102",13653,"Fossilworks","J. Alroy","Dasypodidae","yes","","no","","Nanoastegotherium","","prostatum","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"103",13653,"Fossilworks","J. Alroy","Toxodontidae","no","","no","","Pericotoxodon","","platignathus","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"104",13678,"Fossilworks","J. Alroy","Dasypodidae","yes","no","no","n. gen.","Anadasypus","n. sp.","hondanus","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"105",13678,"Fossilworks","J. Alroy","Mylodontidae","","no","no","","Pseudoprepotherium","","confusum","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"106",13680,"Fossilworks","J. Alroy","Dasypodidae","yes","no","no","","Anadasypus","","hondanus","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
"107",13680,"Fossilworks","J. Alroy","Mylodontidae","","no","no","","Pseudoprepotherium","","confusum","","","","","Colombia","","Neogene","Miocene","",16.3,15.5,"Villavieja"
