order;family;genus;accepted_name;status;gen_lvl_status;cc;state;locality;formation;period;epoch;Sub_epoch;stage;min_ma;max_ma;collection_no;authorizer;primary_reference
;Herpetotheriidae;Rumiodon;Rumiodon;extinct;extinct;Peru;Loreto;Contamana;;Paleogene;Oligocene;Early Oligocene;Early Oligocene;37.71;47.8;144474;J. Zijlstra;P. Antoine, M. A. Abello, and S. Adnet, A. J. A. Sierra, P. Baby, G. Billet, M. Boivin, Y. CalderÛn, A. Candela, J. Chabain, F. Corfu. 2016. A 60-million-year Cenozoic history of western Amazonian ecosystems in Contamana, eastern Peru. Gondwana Research 31:30-59
;Herpetotheriidae;Rumiodon;Rumiodon_inti;extinct;extinct;Peru;Departamento de Ucayali;Provincia Atalaya;;Paleogene;Oligocene;Early Oligocene;Early Oligocene;28.1;37.71;149523;C. Jaramillo;F. J. Goin and A. M. Candela. 2004. New Paleogene Marsupials from the Amazon Basin of Eastern Peru. Natural History Museum of Los Angeles County, Science Series 40:15-60
;Jaskhadelphyidae;Jaskhadelphys;Jaskhadelphys_minutus;extinct;extinct;Bolivia;Mizque;;;Paleogene;Paleocene;Danian;Danian;61.6;66;13501;P. Mannion;L. G. Marshall and C. de Muizon. 1988. The Dawn of the Age of Mammals in South America. National Geographic Research 4:23-55
;Jaskhadelphyidae;Kiruwamaq;Kiruwamaq_chisu;extinct;extinct;Peru;Departamento de Ucayali;Provincia Atalaya;;Paleogene;Oligocene;Priabonian-Rupelian;Priabonian-Rupelian;28.1;37.71;149523;C. Jaramillo;F. J. Goin and A. M. Candela. 2004. New Paleogene Marsupials from the Amazon Basin of Eastern Peru. Natural History Museum of Los Angeles County, Science Series 40:15-60
;Jaskhadelphyidae;Minusculodelphis;Minusculodelphis_minimus;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;C. Jaramillo;"C. Paula Couto. 1962. Didelfidos fosiles del Paleoceno de Brasil. Revista del Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia"" 8:135-166"
;Jaskhadelphyidae;Minusculodelphis;Minusculodelphis_modicum;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;R. Butler;E. V. Oliveira, N. Zimicz, and F. J. Goin. 2016. Taxonomy, affinities, and paleobiology of the tiny metatherian mammal Minusculodelphis, from the early Eocene of South America. The Science of Nature 103
;Peradectidae;Canchadelphys;Canchadelphys_cristata;extinct;extinct;Argentina;Chubut;;;Paleogene;Oligocene;Early Oligocene;Tinguirirican;27.82;33.9;176200;J. Zijlstra;F. J. Goin, M. A. Abello, and L. Chornogubsky. 2010. Middle Tertiary marsupials from central Patagonia (early Oligocene of Gran Barranca): understanding South America's Grande Coupure.  In R. H. Madden, A. A. Carlini, M. G. Vucetich, R. F. Kay (eds.), The Paleontology of Gran Barranca: Evolution and Environmental Change through the Middle Cenozoic of Patagonia. Cambridge University Press.
;Peradectidae;Caroloameghinia;Caroloameghinia;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Bartonian;Bartonian;38;41.2;176167;J. Zijlstra;L. G. Marshall, C. de Muizon, and R. Hoffstetter. 1984. Fossil Marsupialia in the MusÈum national d'Histoire naturelle collected by AndrÈ TournouÎr from Patagonia, southern Argentina. Bulletin du MusÈum national d'histoire naturelle 6(1):33-58
;Peradectidae;Caroloameghinia;Caroloameghinia_mater;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Bartonian;Bartonian;38;41.2;13779;J. Zijlstra;G. G. Simpson. 1948. The beginning of the age of mammals in South America. Part I. Bulletin of the American Museum of Natural History 91:1-232
;Peradectidae;Caroloameghinia;Caroloameghinia_mater;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Bartonian;Bartonian;38;41.2;176167;J. Zijlstra;L. G. Marshall, C. de Muizon, and R. Hoffstetter. 1984. Fossil Marsupialia in the MusÈum national d'Histoire naturelle collected by AndrÈ TournouÎr from Patagonia, southern Argentina. Bulletin du MusÈum national d'histoire naturelle 6(1):33-58
;Peradectidae;Caroloameghinia;Caroloameghinia_mater;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Bartonian;Bartonian;38;41.2;176169;J. Zijlstra;G. G. Simpson. 1948. The beginning of the age of mammals in South America. Part I. Bulletin of the American Museum of Natural History 91:1-232
;Peradectidae;Caroloameghinia;Caroloameghinia_mater;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Bartonian;Bartonian;38;41.2;176186;J. Zijlstra;R. Cifelli. 1985. Biostratigraphy of the Casamayoran, Early Eocene of Patagonia. American Museum Novitates 2820:1-26
;Peradectidae;Caroloameghinia;Caroloameghinia_mater;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Middle Eocene;Middle Eocene;37.71;47.8;176285;J. Zijlstra;G. G. Simpson. 1967. The beginning of the age of mammals in South America. Part II. Bulletin of the American Museum of Natural History 137:1-260
;Peradectidae;Caroloameghinia;Caroloameghinia_tenuis;extinct;extinct;Argentina;Chubut;Paso de Indios;;Paleogene;Eocene;Bartonian;Bartonian;38;41.2;49900;D. Croft;L. G. Marshall, R. L. Cifelli, and R. E. Drake, G. H. Curtis. 1986. Vertebrate paleontology, geology, and geochronology of the Tapera de LÛpez and Scarritt Pocket, Chubut Province, Argentina. Journal of Paleontology 60(4):920-951
;Peradectidae;Caroloameghinia;Caroloameghinia_tenuis;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Middle Eocene;Middle Eocene;37.71;47.8;176285;J. Zijlstra;G. G. Simpson. 1948. The beginning of the age of mammals in South America. Part I. Bulletin of the American Museum of Natural History 91:1-232
;Peradectidae;Peradectes;Peradectes_austrinum;extinct;extinct;Bolivia;Mizque;;;Paleogene;Paleocene;Danian;Danian;61.6;66;13501;P. Mannion;L. G. Marshall and C. de Muizon. 1988. The Dawn of the Age of Mammals in South America. National Geographic Research 4:23-55
;Peradectidae;Peradectes;Peradectes_austrinum;extinct;extinct;Peru;Puno;;;Paleogene;Eocene;Thanetian-Ypresian;Thanetian-Ypresian;47.8;59.2;28230;M. Carrano;J. F. Bonaparte and J. E. Powell. 1980. A continental assemblage of tetrapods from the Upper Cretaceous beds of El Brete, northwestern Argentina (Sauropoda-Coelurosauria-Carnosauria-Aves). MÈmoires de la SociÈtÈ GÈologique de France, Nouvelle SÈrie 139:19-28
;Peradectidae;Procaroloameghinia;Procaroloameghinia_pricei;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Ypresian;Ypresian;47.8;56;133040;P. Mannion;E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
